полезная нагрузка,payload
политика,policy
полка,shelf
полное имя,full name
полнота,recall
получатель,recipient
пользователь,user
помещение,room
порог,threshold
пороговое значение,threshold value
порт,port
портфель,portfolio
посетители,visitors
последнее изменение,last modified
последовательность,sequence
пост,post
поставка,supply
поставщик,supplier
поставщик,vendor
постановление,resolution
постоянная разница,permanent difference
постоянное представительство,permanent establishment
потребление,consumption
почта,email
почта,mail
почтовый индекс,postal code
права,permissions
правило,rule
предел,limit
предзаказ,preorder
предложение,offer
предложение,proposal
предмет,subject
предоплата,prepayment
премия,premium
преподаватель,teacher
прецизионность,precision
прибыль,profit
прибытие,arrival
привилегия,privilege
признак,attribute
примечание,note
приоритет,priority
приход,receipt
причина,reason
провайдер,provider
провинция,province
проводимость,conductivity
прогноз,forecast
прогноз доходов,revenue forecast
продление срока,extension
продолжительность,duration
продуктивность,productivity
проект,project
прозрачность,transparency
производитель,manufacturer
производительность,performance
производственная линия,production line
производство,production
промежуток,spacing
промокод,promo code
пропорция,proportion
прослеживаемость,traceability
просмотры,views
просмотры страниц,page views
просрочка,overdue
простой,downtime
протокол,protocol
профессия,occupation
процент,interest
процент выполнения,completion rate
процент ошибок,error rate
процент роста,growth rate
процент снижения,decline rate
процентиль,percentile
процентная ставка,interest rate
процессор,cpu
псевдоним,nickname
птс,
пульс,heart rate
пункт назначения,destination
путь,path
работник,worker
работодатель,employer
рабочая станция,workstation
рабочее время,work time
рабочее место,workplace
рабочий адрес,work address
радиус,radius
разблокировка,unlock
разброс,variance
развитие,development
раздел,section
раздел,partition
размер,size
размер пакета,batch size
размер скрытого слоя,hidden layer size
размер файла,file size
размерность,dimensions
размеры,dimensions
размещение,placement
разница,difference
разница,variation
разрешение,permission
разрешение,resolution
разрешение экрана,screen resolution
район,district
ранняя остановка,early stopping
расположение,layout
распоряжение,order
рассрочка,installment
расстояние,distance
расстояние жаккара,jaccard distance
расход,issue
расшифровка,transcript
ревизия,revision
регион,region
регистр,registry
регистратор,registrar
регламент,regulation
регрессия,regression
регуляризация весов,weight decay
регулярность,regularity
реестр,registry
резерв,reserve
резервная копия,backup
результат,result
результативность,performance
резюме,resume
резюме,summary
рейтинг,rating
реквизиты,requisites
рекомендация,recommendation
рекомендуемая суточная доза,rda
релиз,release
рентабельность,profitability
ресурс,resource
рецензент,reviewer
рецепт,prescription
решатель,solver
решение,decision
решение,solution
риск,risk
род занятий,occupation
род деятельности,occupation
розничная цена,retail price
роль,role
рост,height
рост,growth
руководитель,director
руководитель,executive
руководитель,head
руководитель,supervisor
рынок,market
рыночная доля,market share
сайт,website
сайт компании,company website
самостоятельное исправление,voluntary correction
санкция,sanction
сахар,sugar
сбер id,sber id
сбербизнес id,sberbuisness id
сберчат,sberchat
сбор,fee
сборочная линия,assembly line
свидетельство о рождении, birth certificate
сводка,summary
связность,connectivity
связь,relationship
сдача,change
себестоимость,cost price
себестоимость единицы,unit cost
сегмент,segment
сезон,season
сезонный,seasonal
сезонный фактор,seasonal factor
секрет,secret
сектор,sector
секунда,second
секция,section
селен,selenium
семейное положение,marital status
семестр,semester
сервер,server
сервис,service
серийный номер,serial
серия и номер паспорта,
серия паспорта,passport series
сертификат,certificate
сертификация,certification
серьезность,severity
сессия,session
сила,force
сила ветра,wind force
симптом,symptom
скайп,skype
скидка,discount
склад,warehouse
скорость,speed
скорость оборота,velocity
скорость обучения,learning rate
слоган,tagline
сложность,complexity
смена,shift
снаряжение,equipment
снилс,
сноска,footnote
снято с производства,discontinued
собственник,owner
собственность,property
собственность,ownership
собственный капитал,net worth
событие,event
согласование,accept
согласующий,approving
соглашение об избежании,tax treaty
содержание,content
создано,created
создано пользователем,created by
сообщение,message
соотношение сторон,aspect ratio
сопротивление,resistance
состояние,state
сотрудник,employee
социальные сети,social media
социальный налог,social tax
специальность,major
специфичность,specificity
способ доставки,delivery method
справка,reference
справка,certificate
среда,environment
среднее,mean
среднее время,average time
среднее значение,mean value
среднее расстояние,average distance
среднестатистический,average
средний балл,average score
средний возраст,average age
средний доход,average income
средний размер,average size
средняя точность,average precision
средняя цена,average price
срок,term
срок годности,expiration date
срок давности,statute of limitations
срок действия,validity period
срок обслуживания,maintenance period
срок подачи,filing deadline
срок уплаты,payment deadline
срочность,urgency
ссуда,loan
ссылка,link
ссылка,url
ставка,rate
ставка ндс,vat rate
ставка по депозиту,deposit rate
ставка по кредиту,loan rate
стадия,stage
стаж,experience
стандарт,standard
стандартное отклонение,standard deviation
статус,status
статус доставки,delivery status
статус оплаты,payment status
статус сотрудника,employee status
статус товара,product status
стационарный телефон,landline
стиль,style
стоимость,cost
стоимость клика,cost per click
стоимость сделки,deal value
столица,capital
стоп-лосс,stop-loss
страна,country
страна происхождения,origin
страна регистрации,country of registration
страховая стоимость,insurable value
страховка,insurance
страховой агент,insurance agent
страховой брокер,insurance broker
страховой полис,insurance policy
строка,row
стс,
студент,student
ступень,degree
сумма,amount
схема,schema
счет,account
счет-фактура,invoice
табельный номер,personnel number
таблица,table
таймаут,timeout
таймштамп,timestamp
таможенная пошлина,customs duty
таргет,target
твердость,hardness
тег,tag
тейк-профит,take-profit
текучесть,turnover
текущий налог,current tax
телефон,phone
тема,subject
тема,thread
тема,topic
температура,temperature
теплопроводность,thermal conductivity
терпение,patience
территория,territory
территория,area
техническое обслуживание,maintenance
техобслуживание,maintenance
тикер,ticker
тикет,ticket
тип,type
тип документа,document type
тип занятости,employment type
тип операции,transaction type 
тип проблемы,issue type
тип услуги,service type
тип файла,file type
ткань,fabric
товар,product
токен,token
точка доступа,access point
точность,accuracy
транзакция,transaction
транскрипция,transcription
транспорт,transport
транспортный налог,vehicle tax
трансфертное ценообразование,transfer pricing
требование,demand
трек номер,tracking number
тренд,trend
убыток,loss
уведомление,notification
углеводы,carbohydrates
угол,angle
удалено,deleted
удержание,retention
удовлетворенность,satisfaction
удовлетворенность клиента,customer satisfaction
узел,node
улица,street
уникальные посетители,unique visitors
уникальный идентификатор,unique id
упаковка,packing
упрощенная система,simplified system
упругость,elasticity
уреренность,confidence
уровень,level
уровень доступа,access level
уровень удовлетворенности,satisfaction level
условие,condition
услуга,service
усн,simplified taxation
устав,charter
уставный капитал,authorized capital
устройство,device
утверждающий,approver
утилизация,utilization
уф-индекс,uv index
участник,contributor
участник,stakeholder
учебный год,academic year
учебный план,curriculum
учредитель,founder
ущерб,expense
фабрика,factory
файл,file
факс,fax
факт,actual
факультет,faculty
фамилия,surname
фамилия,lastname
фамилия,last name
физический подсчет,physical count
фискальный накопитель,fiscal drive
фискальный признак,fiscal basis
флаг,flag
формат,format
форум,forum
фосфор,phosphorus
фото,photo
фреймворк,framework
функция потерь,loss function
характеристики,features
хеш,hash
хештег,hashtag
хост,host
хостинг,hosting
хранилище,storage
хэш,hash
цвет,color
цель,objective
цель,target
цена,price
цена за единицу,unit price
цена закрытия,closing price
цена открытия,opening price
цикл,cycle
циклический подсчет,cycle count
цинк,zinc
цод,datacenter
час,hour
часовой пояс,timezone
частота,frequency
часть,part
чат,chat
численность,size
число,total
чистота,purity
чувствительность,sensitivity
шаг,step
ширина,width
широта,latitude
шифрование,encryption
шлюз,gateway
штат,staff
штраф,fine
штраф за просрочку,late fee
штрихкод,barcode
экзамен,exam
экологический налог,environmental tax
электронная подпись,digital signature
электронный документооборот,electronic workflow
электропроводность,electrical conductivity
элемент,element
эпохи,epochs
этаж,floor
этап,phase
эффективность,efficiency
эцп,digital signature
ядро,kernel
язык,language
яркость,brightness
ярлык,label
ячейка,bin
ячейка,cell
